,0,1
942, GI_15743546-S,
943, GI_10864008-I,
944, GI_10835009-S,
945, GI_11056009-S,
946, GI_15718677-S,
947, GI_13376012-S,
948, GI_14042952-S,
949, GI_12232456-S, GI_14042952-S
950, GI_12751496-S,
951, GI_10834989-A,
952, GI_13899232-S,
953, GI_16604251-S,
954, GI_13376473-S,
955, GI_13375996-S,
956, GI_14211539-S,
957, GI_10863984-S,
958, GI_13375700-S,
959, GI_14141158-A,
960, GI_14149676-S,
961, GI_13376557-S,
962, GI_14149614-S,
963, GI_12383061-S,
964, GI_12232386-S,
965, GI_13376635-S,
966, GI_14165271-S,
967, GI_10947125-S,
968, GI_14702170-I,
969, GI_11967986-S,
970, GI_11037062-S,
971, GI_12545403-S,
972, GI_15967158-A,
973, GI_16117786-A,
974, GI_16418400-S,
975, GI_13129013-S,
976, GI_11863127-A,
977, GI_10835001-S,
978, GI_14277673-S,
979, GI_13929469-S,
980, GI_15147227-S,
981, GI_13435378-S,
982, GI_14589846-S,
983, GI_11968048-S,
984, GI_11968044-S,
985, GI_10947058-S,
986, GI_13775603-S,
987, GI_14602425-S,
988, GI_12548775-S,
989, GI_13376853-S,
990, GI_13129105-S,
991, GI_15812219-S,
992, GI_11545792-S,
993, GI_13236596-S,
994, GI_14790114-A,
995, GI_15451903-S,
996, GI_11641403-S,
997, GI_11345483-S,
998, GI_13376370-S,
999, GI_15451900-S,
1000, GI_10518498-S,
1001, GI_15553096-S,
